,J,T,s_jt,x_jt,z_jt,p_jt
0,1,1,0.4836681395835731,0.07353751609657344,0.24123770672287725,2.5100339201747723
1,1,2,0.011544322433041454,0.7873065745039277,0.7339473804974084,7.018791436103446
2,1,3,0.0027104900636514043,1.1371153160270644,0.7820889867344676,6.8397097926488994
3,1,4,0.003967284057851737,0.6209220844704182,1.1234859400700994,8.968260221062263
4,1,5,0.010029434727069467,1.2725775935486277,0.6703814269141202,7.259522029901618
5,1,6,0.0039048058612666976,1.5564331052908165,1.434927499275592,7.807201700517901
6,1,7,0.22527604841954202,1.2563198753334646,1.6893708578587638,5.11170957482312
7,1,8,0.0776043182163473,0.2774533606969424,1.2460750295415937,4.4862749331371035
8,1,9,0.015322634178106373,0.7269221082337707,0.715548960812187,5.78505724834179
9,1,10,0.009723105860474706,1.180729467557239,1.3075418960397336,8.828963131563478
10,1,11,0.0051326419227670115,0.2846965207981895,1.830737578393268,10.901388534307136
11,1,12,0.014226693540703304,0.4477551960938754,1.4901164857758307,10.145841171248868
12,1,13,0.036033119866981905,2.2743389927102986,0.5755714601426472,7.3916998048988365
13,1,14,0.05947068153983491,0.9236221087205484,0.4120448458400239,7.642865262551614
14,1,15,0.7989031845091638,1.2723150985560356,0.1480154520788829,2.129918499033348
15,1,16,0.22709411320117356,1.419496264245112,0.30487339178809114,3.5346988292670454
16,1,17,0.013606963970404165,1.1308097359278753,0.7701500282146102,8.682147266860834
17,1,18,0.11817138047673571,1.4093335177081197,0.3622340900542007,5.733522938476651
18,1,19,0.043181944636397955,1.0585806839623186,-0.028778416125720963,6.039115804160508
19,1,20,0.009090164725440435,1.40778302522469,0.7650604122798241,7.5934676815589714
20,1,21,0.27161475500676585,1.1350267454979663,0.38974829399251976,3.4112754651791244
21,1,22,0.04413314656468805,1.841006919577755,0.9728728631384626,9.93766539647157
22,1,23,0.028543730382644298,0.9304265125321962,1.6480151464071193,6.546069480907656
23,1,24,0.0704043908496515,0.6913240065307329,0.7585615457005708,6.793377927130472
24,1,25,0.021982357233092834,1.2326169502734003,1.3581976852552662,9.094013957590757
25,1,26,0.10256308320995851,1.2353150124705525,0.7664513955053694,4.984207115206464
26,1,27,0.028713816844166382,1.059794403836565,0.8062338753420776,7.337581968550907
27,1,28,0.0053532248686369195,1.1178126807261863,1.634285040659844,9.09424434600035
28,1,29,0.14792904837244403,0.8909007711518074,0.03437501536597232,4.833638947115972
29,1,30,0.06608268926703263,1.3316023780331263,1.5320428437444957,6.1970430117710125
30,1,31,0.016777164671889187,0.6079974953978765,0.7370540035171531,5.53516184790985
31,1,32,0.02488209389915073,1.8715177761372122,1.692663204301313,8.026711531624704
32,1,33,0.1459478060642419,0.9579945099743356,0.5459057105299405,3.8773450656251933
33,1,34,0.20271614860145906,0.6738422478689736,1.0213802673893015,4.8649293233353745
34,1,35,0.028848379540108864,0.632914086551235,0.6015795593124287,4.815558276631975
35,1,36,0.04449414206490388,1.123334998414966,0.5562253536339767,5.052197753401565
36,1,37,0.3382355541497139,2.178515561630946,0.6520782517617882,7.3078890115938595
37,1,38,0.010835788903860437,0.9057909771148612,1.660047642678129,9.146122884468927
38,1,39,0.08897584286470779,0.5736346549174425,1.3625827715353198,5.647253468646122
39,1,40,0.0064979047061820925,0.8293049695387151,0.43595677508584174,9.400998943823385
40,1,41,0.06231619663243215,1.2122612673293554,0.23681683214216231,5.009603275258958
41,1,42,0.006622412196994242,1.3085249792203426,1.254584644148284,6.771862728893964
